RT_UNIQUE,KA Crashes,Total K Crashes,Total A Crashes,Begin MP,End MP
087-US-0460  -000,50,14,36,0.244,22.024
087-KY-0686  -000,34,4,30,0.436,6.324
087-US-0060  -000,32,10,22,0.329,12.075
087-KY-0011  -000,20,5,15,0.519,12.999
087-KY-0713  -000,12,1,11,1.377,15.824
087-KY-0646  -000,8,1,7,0.068,10.223
087-KY-1331  -000,6,0,6,0.181,5.161
087-KY-1991  -000,6,0,6,0.061,1.344
087-CR-1011  -000,4,2,2,0.639,2.325
087-KY-0213  -000,3,0,3,5.826,8.837
087-CR-1029  -000,2,1,1,0.674,0.932
087-CS-1024  -000,2,0,2,0.469,0.567
087-CS-1052  -000,2,0,2,0.257,0.31
087-KY-3363  -000,2,0,2,0.265,2.338
